Date Code Year/MMWR Week,County,Sum of Age 0-4,Sum of Age 5-24,Sum of Age 25-49,Sum of Age 50-64,Sum of Age 65 and older,Sum of Total Patients Seen,Sum of Total ILI
201001,Baker,0,0,0,0,0,450,0
201001,Benton,0,2,1,0,0,874,3
201001,Coos,17,11,0,0,0,301,28
201001,Deschutes,0,0,0,0,0,54,0
201001,Douglas,2,5,0,0,0,48,7
201001,Jackson,0,0,0,0,0,510,0
201001,Jefferson,0,1,0,0,0,472,1
201001,Josephine,2,2,0,0,0,259,4
201001,Klamath,0,1,0,1,0,1022,2
201001,Lane,0,0,0,0,0,102,0
201001,Lincoln,0,0,0,0,0,72,0
201001,Malheur,0,0,0,0,0,72,0
201001,Marion,0,0,0,0,0,117,0
201001,Multnomah,3,4,2,0,0,1334,9
201001,Tillamook,0,0,1,0,0,65,1
201001,Washington,0,0,0,0,0,47,0
201002,Baker,0,0,0,1,0,480,1
201002,Benton,0,1,0,0,0,976,1
201002,Coos,6,15,0,0,0,316,21
201002,Douglas,4,4,0,0,0,53,8
201002,Jefferson,0,0,0,1,0,464,1
201002,Josephine,2,1,0,0,0,231,3
201002,Klamath,0,1,0,0,0,977,1
201002,Lane,0,0,0,0,0,90,0
201002,Lincoln,0,0,0,0,0,67,0
201002,Marion,0,0,0,0,0,146,0
201002,Multnomah,0,0,0,0,0,77,0
201002,Washington,0,0,0,0,0,38,0
201003,Baker,0,0,0,0,0,363,0
201003,Benton,0,0,1,0,0,819,1
201003,Coos,5,7,0,0,0,277,12
201003,Douglas,1,1,0,0,0,51,2
201003,Jefferson,0,1,1,0,0,428,2
201003,Josephine,2,2,0,0,0,275,4
201003,Klamath,0,0,1,0,0,961,1
201003,Lane,0,0,0,0,1,97,1
201003,Lincoln,0,0,0,0,0,87,0
201003,Marion,0,1,0,0,0,102,1
201003,Multnomah,1,1,0,0,0,69,2
201003,Tillamook,0,0,0,0,0,60,0
201003,Washington,0,0,0,0,0,21,0
201004,Baker,0,0,0,0,0,451,0
201004,Benton,0,1,0,0,0,996,1
201004,Coos,8,10,0,0,0,336,18
201004,Douglas,1,2,0,0,0,56,3
201004,Jefferson,0,0,2,0,0,423,2
201004,Josephine,5,6,0,0,0,280,11
201004,Klamath,0,0,0,0,0,1031,0
201004,Lane,0,0,0,1,1,103,2
201004,Lincoln,0,0,1,0,0,76,1
201004,Marion,0,1,0,0,0,173,1
201004,Multnomah,4,0,0,0,0,75,4
201004,Tillamook,0,0,0,0,0,70,0
201004,Washington,0,0,0,0,0,0,0
201005,Baker,0,0,0,0,0,471,0
201005,Benton,0,0,1,0,0,969,1
201005,Coos,7,8,0,0,0,320,15
201005,Douglas,3,1,0,0,0,53,4
201005,Jefferson,0,1,2,0,0,434,3
201005,Josephine,10,3,0,0,0,272,13
201005,Klamath,0,0,2,0,0,722,2
201005,Lane,0,0,0,0,0,96,0
201005,Lincoln,0,0,0,0,0,76,0
201005,Marion,0,0,0,0,0,170,0
201005,Multnomah,3,1,0,0,0,84,4
201005,Tillamook,0,0,0,0,0,60,0
201005,Washington,0,0,0,0,0,0,0
201006,Baker,0,0,0,0,0,445,0
201006,Benton,0,2,1,0,0,1046,3
201006,Coos,9,11,0,0,0,258,20
201006,Douglas,1,0,0,0,0,55,1
201006,Jefferson,0,0,0,0,0,416,0
201006,Josephine,16,5,0,0,0,270,21
201006,Klamath,0,0,1,0,0,1020,1
201006,Lane,0,0,0,0,0,88,0
201006,Lincoln,0,0,0,0,0,82,0
201006,Marion,0,0,0,0,0,177,0
201006,Multnomah,2,1,0,0,0,91,3
201006,Tillamook,0,0,0,0,0,50,0
201006,Washington,0,0,0,0,0,0,0
201007,Baker,0,0,0,0,0,406,0
201007,Benton,0,3,1,0,0,949,4
201007,Coos,17,12,0,0,0,266,29
201007,Douglas,2,0,0,0,0,30,2
201007,Jefferson,2,0,0,0,0,308,2
201007,Josephine,10,10,0,0,0,309,20
201007,Klamath,1,1,1,0,2,706,5
201007,Lane,0,0,0,0,0,92,0
201007,Lincoln,0,0,0,0,1,81,1
