@relation R_data_frame-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToString-Cfirst

@attribute text string
@attribute is_sick {FALSE,TRUE}

@data
'Video: I predict this will be the soundtrack to about 78\% of all ski videos this winter. Matt and Kim -... http://t.co/8X2XPcYn @nyergler the \'cohesive model\' was the best part. Hadn\'t seen it written so concisely and elegantly before. @nyergler Just read through effective django - awesome!  Nice job @patpoels congrats!!!! Cambridge  @ Harvest http://t.co/o3AAkS56 Anthony Bourdain describes his new graphic novel http://t.co/nPJP4nox  Pitchfork: There?s a shot of you crowd-surfing in the new LCD Soundsystem documentary  Shut Up and Play...  http://t.co/i3LNJCtE Photo: (via Dribbble - 100 Frames - Interns by Fraser Davidson) http://t.co/zS9XvtUG Good morning my favorite place on earth.   @ Hawk Hill http://t.co/mHPuu0M6 Photo: Related: i saw EAMES: The architect and the painter this week  and it was excellent. (via Win an ?Ice... http://t.co/Eu9CBI2u @tywhite awesome!!! For the discerning  gentleman junkie. Only the finest.   http://t.co/iBVpUMgw @gorbster What else are you giving away/selling? ;-) @kroberts615',FALSE
'I had a pork roll sandwich and a side of pierogies  with soft serve ice cream for desert. Yay NJ! @DanMan15 That tweet only works if you put  Please RT  at the end.  C: Conveniently knowing everyone Jim?s sister and his college friend just happen to be connected to the...  http://t.co/CtmxTyl3 @kroberts615 I hope you aren\'t hiding under the sofa waiting for the keys to find you.... @DanMan15 What do you think about the merits of drafting a QB (rodgers?) first? Trying to imagine what my #2 pick will be... @matthewhickey so jealous! @tywhite @eventbrite alright! looks like a great lineup  fingers crossed for no lightning! Photo: experimentsinmotion: Asobi by Yasutoki Kariya  Asobi  was created by art student Yasutoki Kariya for... http://t.co/KaFzmPaP Just posted a photo  @ Mt. Tamalpais Amphitheater http://t.co/LUPeG0N7',FALSE
'@MKFster http://t.co/AJKASjVj #geography Am I the only one who loves the fog? Ramune!   @ Kaka Udon Kitchen http://t.co/sSfL6Q4f @golm 3G? What are you  a farmer? I did not expect this  but siri on my ipad is kinda cool! @golm Have you tried turn-by-turn? Do they work? @golm I upgraded my ipad to ios 6... maps are spookily accurate.  It knows which room i\'m in  I can watch the dot follow me. @tywhite @kristineholst Ithaca is amazing. Has to be the best college town in the country. Video: Paris vs New York (by TonyMiotto) http://t.co/5UmhOKFW Photo: (via Macro Photographs of Dew-Covered Dragonflies and Other Insects by David Chambon | Colossal) http://t.co/fOVUHouw @kroberts615 double-valley double-valley owl eyes dot com. @tywhite @golm Ty  you were right the first time. Some things are inexcusable. #rdio4life  New York City  when I was young  was falling apart  and the rest of the country was clean and...  http://t.co/XT7lDC8Z Fantasy football draft day. Let\'s do this.  http://t.co/k1A9A666 @golm wait till s',FALSE
'@DanMan15 don\'t say forever. It will bounce back. Rebuild NJ! @mitchellh ahh.. I see it now. What a bizarre and ugly update.  I wonder if they only pushed half the release. @mitchellh did they update the console? Or is that a third party console? More few tour @ United Nations Plaza http://t.co/Y1py7e1G Dew tour sf @ City Hall Dome http://t.co/mfRoLOux Good morning Bay Area!  @ San Andreas Trail http://t.co/tJbbDpTn Beautiful day in sf! http://t.co/ase32h4N @gorbster awesome find! I\'ve been loathe to deal with my old instapaper articles. Do not taunt happy fun ball.  http://t.co/G2Epx7jb Steve holt! (Seen in the mission) http://t.co/1QeFrxfx @kroberts615 http://t.co/jFtGAUhC #hippopotopussy No big deal  but there are ponies roaming Fillmore street. (Does this sf weekend get bet  @ Jackson Fillmore http://t.co/aE77sz5r Go giants!  @ Civic Center Plaza http://t.co/bGodjZNT @nyergler amateur status until you hit star alliance undefined  Starwood nil  and Amex preferred since jan 1st  1970.',FALSE
'@DanMan15 kezar pub? Never been there on a Sunday  but it\'s not a bad sports bar. Boozy. @rotron That is a crazy linked article! Cranberries-ala-Jamie! http://t.co/zKRja0Hw @kfleisher hah! You\'re the third sunset resident to post this same tweet! Funny!',FALSE
'Photo:  http://t.co/HFPSBUGD Just posted a photo @ Museum of Modern Art (MoMA) http://t.co/4Ff4lXlw @avzooropa I wish I brought my kindle. My attempts at long form reading on my iPad have been thwarted by \'what\'s this safari button do\'? @buzz @buster You have no idea how many Javascript related mentions I get @js.  The connect and discover tabs of twitter are useless to me. @rotron Maybe she was wearing this  and hoping to meet the lumberjack of her dreams on muni: http://t.co/ySucPJLS @rotron mystery maple syrup smell? like nyc! http://t.co/WgDgxHUZ Looks good with scotch/ Tastes good with a tux. http://t.co/RnOWgXpd @nelson I saw that article and immediately through of this: http://t.co/Pl1wbc0l Can the google maps for the iPhone give me directions to someplace that isn\'t freezing? Listening to Big Boi\'s new album  caught by this lyric:  Make your stock go up  my Apple stock split .  Outkast reaffirms AAPL buy rating? After Watching homeland: what if #youk has been turned  the sox are playing the long con  ',FALSE
'Tea time! http://t.co/B0zPh4VN',FALSE
'Snowbird http://t.co/ECOvuqrx @rotron Yea  I played with an Olympus over the summer  very nice.  I\'m jealous of your Leica glass! Your pics look great. @rotron Great post! I long for a post-SLR camera too.  The camera is so bulky  I never take it out. Maybe M 4/3s for me? Every time I go to Costco hungry  I want to fill my shopping cart full of tvs. @bobveznat @namecheap I moved to namecheap last year! So far so good! This season on CBS: Friday night no lights. @DanMan15 go niners! Under the Golden Gate Bridge. @ Fort Point http://t.co/UfubBMXW @tywhite #youbetterbecarefolo @rotron mine was reset too. What was the reason?',FALSE
'This is amazing. No joke. http://t.co/oQESkehn6m Apple\'s podcast app is still junk. Get it together! Great spoof of http://t.co/YSn2HdZf6O from squaw at: http://t.co/eopXp27cyW.  Amazing! @nyergler depends on the status of your footwear. You\'re only in trouble if it\'s Birkenstocks and socks. A Ponytail is merely bonus points. Hurley as woz is brilliant. http://t.co/Ris9pVUs0Z They were going to build a roller coaster at squaw!?!? http://t.co/P8Rsd5Cfks Jeopardy has a sense of humor:  http://t.co/5emPFteKSU Sunday streets exploratorium. @ Exploratorium at Pier 15 http://t.co/NONgznf6lj Mint mojito iced coffee is amazing. @Addtocouch http://t.co/IxjAkqMf8h @Addtocouch https://t.co/NoFhXCztf7! @addtocouch http://t.co/Sobob8lJFO Double secret bankruptcy protection? Fat  dumb  and broke is no way to go through life  son? http://t.co/6RJruV1NUw My super slow train ride.  #8mph https://t.co/GaijStmGOt Our first real rain of the year. https://t.co/TQ0nGc9bf1 Dr awe snap! @ Whole Foods Market http://t.co/cAFvOFdkll Sf',FALSE
'One of the few april fools jokes that\'s ever brought a smile to my face ;-) https://t.co/bWsHgjskiN @gorbster congrats!! I love strava. Good luck and do great work! @tywhite Related: I didn\'t know it was a soundtrack until about 8 minutes in  and that explained a lot. @tywhite Got one listen through  but wasn\'t blown away.  Maybe it needs another listen? I\'ve never had any desire to go to coachella  but this year has made me filled with envy. Its the freakin weakend  and im about to have me some fun: http://t.co/rR1y9xbEh0 #suprisinglyawesome Everything single thing in this article is awesome: http://t.co/UN50FvrpMy Love this video from for Lost http://t.co/8Io3ASSh7K Who needs coachella when hello kitty fest is down the street. @ Sundance Kabuki Cinemas http://t.co/FWSnLeDMmN @GoodneyFielding I\'m listening too.  This is insane. Lovely article: ?@felixsalmon: What is the median individual income for a 30-year-old woman in the US? In NYC? http://t.co/RlvKhkjKUV?',FALSE
'Birthday dinner! @ Rich Table http://t.co/GQkyXh6iTd @golm There\'s still time to make the dream true:  http://t.co/ZuAl2mQWBd Mmmm. First homebrew beer! http://t.co/ckYTVJQDGW @js: Ikea furniture really is single serving. #reassemblyhell @golm right! Like Cortez! @rotron do you have bicycles for parents? If so  double word score day! Wutang cookies http://t.co/M0b9qiIwLv @rotron is that with the sunset filter? @golm @a_a_912 who would have known that the bots knew to troll us with poor grammar. They must be sentient! @bobveznat I thought I blew a tire on 101N at candlestick a few minutes ago  then I realized that was just the wind. Happy sf day! http://t.co/Cox0NCTbsc Best reading this weekend: @elonmusk twitter feed. He\'s gone bulworth on climate change. I had no idea that moving to noe valley meant moving to a third world country. Power outage again! Tonight\'s beer: Peter Dinklage\'s badonka-dunkle dunkleweiss. http://t.co/x7Rg954CIl @tomterrific what app is that!?!? Little brother\'s first sf show. He\'s awes',FALSE
'Isn\'t the bigger outrage that even with an unlimited budget and advanced technology  the NSA uses PowerPoint and clipart? Video: Paper City (by Maciek Janicki) http://t.co/sO8mLsFMSN Maybe LinkedIn can start emulating the Obama campaign emails: \'subject: hey  it\'s beyonce  can we talk?\' I think they\'re juking the stats to show near-term usage  and it feels desperate. Definitely not a product to emulate. LinkedIn is so user hostile  I think it\'s by design. They play fast and loose with little to no confirmation on actions. @tywhite @gogriio @Hearscene @Yeahmaze Congrats! yay! @waxpancake awesome! Thank you! @golm ergonomics! Hold phone in hand  pivot elbow  insert top down into jeans pocket. Headphones face up  no need to rotate the phone. Unhh  this is your captain speaking... uhhhh  mumble mumble uhhhhhh murfort mumble. Uhhhh. @xoxo is there a way to find out what your registration status is? Will there be a wait list? Thanks!! Internet at 35 000 feet will always feel like magic. Also  the best thing ever.',FALSE
'@golm I just used twitter to make fun of you for clicking that share button. Orange is the new black. Bury all your money in the back yard like a beagle. http://t.co/hBF9594Qk0 Hello fog. #karlthefog https://t.co/EIo7yGh05e It\'s the water. @ Tony?s Pizza Napoletana http://t.co/fq3RT05bJF Taystee! http://t.co/7JhkVP1CIc cc: @tomterrific',FALSE
'Verizon wireless has become useless on Caltrain. It\'s gotten slower and spottier over time.',FALSE
'670 million people in India without power. Mind blowing. http://t.co/3363sxrB Our paper on non-genetic inheritance & coevolution already highly accessed  even though only in provisional PDF? http://t.co/T5PjZCmV Flight to detroit diverted - Stranded in south bend IN. @delta of no help. Driving home with a toddler and pregnant wife. 9 hours to go. Yay Perspective piece on digital epidemiology now online in plos comp bio http://t.co/ltVAwjUl @ciro @alexvespi  @gazeti @johnbrownstein et al The @zappos app - both on iPhone and iPad - is absolutely fantastic. So much attention to details. Zappos is the Apple of retailers. Really excited to try the new bank @simplify - can\'t wait to leave the world of old school banks! The only question about the Apple TV device is: why didn\'t I get it earlier? So great. The  Nature  paper. Brilliant post by @ladamic and almost a bit spooky how close to home this is hitting... The last team that beat Spain in a soccer world or euro cup was Switzerland. Just sayin\'.',FALSE
