YEAR	WEEK	ILI	Day
2011	40	1.1609239846	646
2011	41	1.1978524149	653
2011	42	1.2792626013	660
2011	43	1.2919386149	667
2011	44	1.4282444683	674
2011	45	1.3980293838	681
2011	46	1.4583098289	688
2011	47	1.5654788991	695
2011	48	1.3431348127	702
2011	49	1.4813864673	709
2011	50	1.6339845638	716
2011	51	1.8312617806	723
2011	52	2.104505893	730
2012	1	1.7362494615	737
2012	2	1.5506640541	744
2012	3	1.6289147412	751
2012	4	1.760384475	758
2012	5	1.9272819211	765
2012	6	1.9199424361	772
2012	7	2.0995119316	779
2012	8	2.2397335132	786
2012	9	2.2192083318	793
2012	10	2.1669258004	800
2012	11	2.3891344258	807
2012	12	1.9646617744	814
2012	13	1.8422893267	821
2012	14	1.6867385793	828
2012	15	1.5313566909	835
2012	16	1.3791223828	842
2012	17	1.2951458618	849
2012	18	1.3952067441	856
2012	19	1.3252176121	863
2012	20	1.2305895314	870
2012	21	1.2302796779	877
2012	22	1.2687678128	884
2012	23	1.1078160676	891
2012	24	1.0955903814	898
2012	25	1.1103082859	905
2012	26	1.1061612193	912
2012	27	1.1081589047	919
2012	28	0.9994439771	926
2012	29	0.9241985842	933
2012	30	0.9492566763	940
2012	31	0.9789028124	947
2012	32	0.925024122	954
2012	33	0.8484556949	961
2012	34	1.0445050503	968
2012	35	1.0985997872	975
2012	36	1.2207080678	982
2012	37	1.2497625679	989
2012	38	1.2289226387	996
2012	39	1.2939326153	1003
2012	40	1.0702825918	1010
2012	41	1.0892613408	1017
2012	42	1.1347269828	1024
2012	43	1.0539182735	1031
2012	44	1.3431289355	1038
2012	45	1.2869844683	1045
2012	46	1.304335329	1052
2012	47	1.7459866677	1059
2012	48	1.6217467916	1066
2012	49	2.5119959309	1073
2012	50	3.3687453655	1080
2012	51	4.466061342	1087
2012	52	7.1307531454	1094
2013	1	4.8203324386	1101
2013	2	5.1106745223	1108
2013	3	5.1641299024	1115
2013	4	3.5935592218	1122
2013	5	3.0504947611	1129
2013	6	2.581837949	1136
2013	7	2.7556483672	1143
2013	8	2.6372780754	1150
2013	9	2.5636775068	1157
2013	10	3.3085638644	1164
2013	11	2.646462476	1171
2013	12	2.2398663737	1178
2013	13	2.1130937155	1185
2013	14	1.6873039494	1192
2013	15	1.5274879644	1199
2013	16	1.1447521346	1206
2013	17	1.0905299152	1213
2013	18	1.0540069045	1220
2013	19	1.2852038813	1227
2013	20	1.1324216904	1234
2013	21	1.0842362043	1241
2013	22	1.3123341886	1248
2013	23	1.0346054632	1255
2013	24	1.1999805742	1262
2013	25	0.8495208291	1269
2013	26	0.7838959902	1276
2013	27	0.7855480094	1283
2013	28	0.617311454	1290
2013	29	0.6363609894	1297
2013	30	0.6534060327	1304
2013	31	0.7627356593	1311
2013	32	0.7062694977	1318
2013	33	0.741412758	1325
2013	34	0.807801623	1332
2013	35	0.9234505368	1339
2013	36	0.7974360052	1346
2013	37	1.194086877	1353
2013	38	1.2048281998	1360
2013	39	1.1938308892	1367
2013	40	1.1521364587	1374
2013	41	1.2678163299	1381
2013	42	1.3123265778	1388
2013	43	1.3654612857	1395
2013	44	1.4633943955	1402
2013	45	1.5764829805	1409
2013	46	1.5994864615	1416
2013	47	1.7197989366	1423
2013	48	2.1093682304	1430
2013	49	2.1662084717	1437
2013	50	2.3705605415	1444
2013	51	3.1802545979	1451
2013	52	4.5973399233	1458
2014	1	4.2914986185	1465
2014	2	3.5724480052	1472
2014	3	3.3683174469	1479
2014	4	3.3981433788	1486
2014	5	3.1179293125	1493
2014	6	2.8132172651	1500
2014	7	2.4849016406	1507
2014	8	2.2741043645	1514
2014	9	2.0681061045	1521
2014	10	1.9834112432	1528
2014	11	1.8174823828	1535
2014	12	1.8200283886	1542
2014	13	1.7548783242	1549
2014	14	1.7455349504	1556
2014	15	1.6724318518	1563
2014	16	1.5181993397	1570
2014	17	1.4471771448	1577
2014	18	1.2913847054	1584
2014	19	1.3734170573	1591
2014	20	1.3420515791	1598
2014	21	1.3456215268	1605
2014	22	1.2129003862	1612
2014	23	1.1990768118	1619
2014	24	1.1411569506	1626
2014	25	1.0657067619	1633
2014	26	1.1197304521	1640
2014	27	0.9456183787	1647
2014	28	0.9442714639	1654
2014	29	0.9354812542	1661
2014	30	0.8175671125	1668
2014	31	0.8534231892	1675
2014	32	0.7470568251	1682
2014	33	0.7612247929	1689
2014	34	0.766262467	1696
2014	35	0.8635682275	1703
2014	36	0.9850290871	1710
2014	37	1.162843237	1717
2014	38	1.2272814058	1724
2014	39	1.2041609317	1731
