YEAR	WEEK	ILI 	Day
2011	40	0.4397398167	646
2011	41	0.6898969531	653
2011	42	0.6302335954	660
2011	43	0.6765418257	667
2011	44	0.6817777814	674
2011	45	0.7221857639	681
2011	46	0.5841984411	688
2011	47	0.6714430248	695
2011	48	0.6242685188	702
2011	49	0.6283893511	709
2011	50	0.7897901392	716
2011	51	0.8658896888	723
2011	52	1.00526097	730
2012	1	0.9106568495	737
2012	2	0.8004142471	744
2012	3	0.8384376371	751
2012	4	0.8197390754	758
2012	5	0.771311554	765
2012	6	0.8462656231	772
2012	7	0.9021324123	779
2012	8	0.9493442014	786
2012	9	0.8033675576	793
2012	10	0.7742835399	800
2012	11	0.8586352425	807
2012	12	0.8310965751	814
2012	13	0.6219330634	821
2012	14	0.7515000514	828
2012	15	0.8571873183	835
2012	16	0.7785639147	842
2012	17	0.5716799634	849
2012	18	0.5187027729	856
2012	19	0.6086039	863
2012	20	0.4994940509	870
2012	21	0.5806814357	877
2012	22	0.6112054932	884
2012	23	0.4498696816	891
2012	24	0.5567633413	898
2012	25	0.5119042859	905
2012	26	0.631639524	912
2012	27	0.6006815986	919
2012	28	0.5457027534	926
2012	29	0.5297630201	933
2012	30	0.5424202545	940
2012	31	0.4238577729	947
2012	32	0.5245304163	954
2012	33	0.4779672153	961
2012	34	0.4877647144	968
2012	35	0.4355255094	975
2012	36	0.5065898533	982
2012	37	0.4920404985	989
2012	38	0.498206871	996
2012	39	0.5224108004	1003
2012	40	0.5424445835	1010
2012	41	0.5606502548	1017
2012	42	0.7553328765	1024
2012	43	0.5751555259	1031
2012	44	0.638643629	1038
2012	45	0.630982645	1045
2012	46	0.7003432469	1052
2012	47	0.8454117813	1059
2012	48	0.896330185	1066
2012	49	1.2449891973	1073
2012	50	1.6990491284	1080
2012	51	2.6275271543	1087
2012	52	3.9292029164	1094
2013	1	3.2171874655	1101
2013	2	3.2846142775	1108
2013	3	3.0211397171	1115
2013	4	2.5042773124	1122
2013	5	2.2125431702	1129
2013	6	1.8740120261	1136
2013	7	1.5552031636	1143
2013	8	1.505858403	1150
2013	9	1.3262126117	1157
2013	10	1.300826962	1164
2013	11	1.1880435722	1171
2013	12	1.1961159769	1178
2013	13	1.1851491392	1185
2013	14	1.1976686392	1192
2013	15	1.2411405457	1199
2013	16	1.0599530662	1206
2013	17	0.7831179691	1213
2013	18	0.805735129	1220
2013	19	0.6909378921	1227
2013	20	0.6233827976	1234
2013	21	0.5957518084	1241
2013	22	0.5818247487	1248
2013	23	0.4083419785	1255
2013	24	0.4756097285	1262
2013	25	0.3916675504	1269
2013	26	0.4305420228	1276
2013	27	0.4304266986	1283
2013	28	0.3840957908	1290
2013	29	0.3884778377	1297
2013	30	0.3435939301	1304
2013	31	0.3435613277	1311
2013	32	0.3922629968	1318
2013	33	0.3351185778	1325
2013	34	0.4135569566	1332
2013	35	0.3331560288	1339
2013	36	0.3040016753	1346
2013	37	0.3382893291	1353
2013	38	0.460902865	1360
2013	39	0.9845901657	1367
2013	40	0.6213947862	1374
2013	41	0.6537419397	1381
2013	42	0.7419827592	1388
2013	43	0.8020896364	1395
2013	44	0.9055621639	1402
2013	45	0.9554539141	1409
2013	46	0.8516594295	1416
2013	47	0.6927784927	1423
2013	48	0.9202856943	1430
2013	49	0.8255542437	1437
2013	50	1.0676753036	1444
2013	51	1.1723980745	1451
2013	52	1.5881154176	1458
2014	1	1.6094820511	1465
2014	2	1.3919829227	1472
2014	3	1.6731713465	1479
2014	4	1.8766682162	1486
2014	5	2.0307966656	1493
2014	6	2.243653724	1500
2014	7	1.7509565218	1507
2014	8	1.7877073016	1514
2014	9	1.5131806908	1521
2014	10	1.5337697324	1528
2014	11	1.3577732333	1535
2014	12	1.690823556	1542
2014	13	1.5975317629	1549
2014	14	1.8248063396	1556
2014	15	1.9608809298	1563
2014	16	1.7346594456	1570
2014	17	1.5557637169	1577
2014	18	1.252356848	1584
2014	19	1.2903162296	1591
2014	20	1.0337007255	1598
2014	21	0.5135044246	1605
2014	22	0.4801868158	1612
2014	23	0.5497949753	1619
2014	24	0.445090665	1626
2014	25	0.4407559967	1633
2014	26	0.4699037868	1640
2014	27	0.702276461	1647
2014	28	0.3559165296	1654
2014	29	0.4013548153	1661
2014	30	0.391158224	1668
2014	31	0.5330877966	1675
2014	32	0.357372515	1682
2014	33	0.3993402483	1689
2014	34	0.3708398951	1696
2014	35	0.3786778007	1703
2014	36	0.4437774089	1710
2014	37	0.4533619666	1717
2014	38	0.5321143678	1724
2014	39	0.6180350712	1731
