YEAR	WEEK	AGE 0-4	AGE 5-24	AGE 25-49	AGE 25-64	AGE 50-64	AGE 65	ILITOTAL	TOTAL PATIENTS	NUM. OF PROVIDERS	% Unweighted ILI	ILI	Day
2011	40	371	492	345	X	105	41	1354	68522	155	1.9760077056	1.8638124809	646
2011	41	383	413	284	X	81	42	1203	66607	152	1.8061164742	1.6839618775	653
2011	42	401	497	320	X	112	46	1376	68083	162	2.0210625266	1.9435779069	660
2011	43	437	491	326	X	92	42	1388	69348	153	2.0014996828	1.8721270579	667
2011	44	429	554	352	X	105	32	1472	72770	164	2.0228115982	1.8657892917	674
2011	45	420	496	340	X	100	53	1409	68090	153	2.0693200176	2.0227790532	681
2011	46	483	558	401	X	132	70	1644	71176	156	2.3097673373	2.229274525	688
2011	47	449	398	314	X	89	46	1296	55332	154	2.3422251139	2.1426221256	695
2011	48	419	483	396	X	146	66	1510	67339	153	2.2423855418	2.152717626	702
2011	49	403	392	263	X	94	54	1206	58265	153	2.0698532567	1.9634400862	709
2011	50	465	468	343	X	129	49	1454	63530	148	2.2886825122	2.1115644055	716
2011	51	504	380	328	X	104	64	1380	58379	147	2.3638637181	2.2402221775	723
2011	52	452	314	329	X	133	69	1297	52217	140	2.4838654078	2.293858752	730
2012	1	488	391	361	X	124	81	1445	63347	159	2.2810867129	2.1377747085	737
2012	2	419	437	322	X	129	77	1384	64281	156	2.153046779	2.0777337373	744
2012	3	457	484	363	X	81	70	1455	64895	155	2.2420833654	2.1885384351	751
2012	4	527	578	382	X	110	45	1642	70730	160	2.3215043122	2.3532065874	758
2012	5	550	613	358	X	130	59	1710	71748	154	2.3833416959	2.4519737743	765
2012	6	587	723	449	X	114	63	1936	73246	158	2.6431477487	2.6877523833	772
2012	7	601	761	531	X	163	72	2128	71505	156	2.9760156632	3.0392415965	779
2012	8	687	750	470	X	180	118	2205	70265	158	3.1381199744	3.3363223018	786
2012	9	655	961	655	X	184	106	2561	76908	155	3.3299526707	3.4999144846	793
2012	10	582	858	415	X	142	90	2087	64822	151	3.219585943	3.3592803841	800
2012	11	676	939	656	X	220	102	2593	68288	154	3.7971532334	4.1065625083	807
2012	12	532	731	481	X	153	76	1973	70099	152	2.814590793	2.9384857614	814
2012	13	431	747	459	X	131	57	1825	71137	146	2.5654722578	2.5655970915	821
2012	14	404	632	357	X	100	72	1565	65583	139	2.3862891298	2.3648100456	828
