YEAR	WEEK	ILI	Day
2012	40	1.0702825918	1010
2012	41	1.0892613408	1017
2012	42	1.1347269828	1024
2012	43	1.0539182735	1031
2012	44	1.3431289355	1038
2012	45	1.2869844683	1045
2012	46	1.304335329	1052
2012	47	1.7459866677	1059
2012	48	1.6217467916	1066
2012	49	2.5119959309	1073
2012	50	3.3687453655	1080
2012	51	4.466061342	1087
2012	52	7.1307531454	1094
2013	1	4.8203324386	1101
2013	2	5.1106745223	1108
2013	3	5.1641299024	1115
2013	4	3.5935592218	1122
2013	5	3.0504947611	1129
2013	6	2.581837949	1136
2013	7	2.7556483672	1143
2013	8	2.6372780754	1150
2013	9	2.5636775068	1157
2013	10	3.3085638644	1164
2013	11	2.646462476	1171
2013	12	2.2398663737	1178
2013	13	2.1130937155	1185
2013	14	1.6873039494	1192
2013	15	1.5274879644	1199
2013	16	1.1447521346	1206
2013	17	1.0905299152	1213
2013	18	1.0540069045	1220
2013	19	1.2852038813	1227
2013	20	1.1324216904	1234
2013	21	1.0842362043	1241
2013	22	1.3123341886	1248
2013	23	1.0346054632	1255
2013	24	1.1999805742	1262
2013	25	0.8495208291	1269
2013	26	0.7838959902	1276
2013	27	0.7855480094	1283
2013	28	0.617311454	1290
2013	29	0.6363609894	1297
2013	30	0.6534060327	1304
2013	31	0.7627356593	1311
2013	32	0.7062694977	1318
2013	33	0.741412758	1325
2013	34	0.807801623	1332
2013	35	0.9234505368	1339
2013	36	0.7974360052	1346
2013	37	1.194086877	1353
2013	38	1.2048281998	1360
2013	39	1.1938308892	1367

